RecordId,SuspectsRaceAsAGroup,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA00-0000028339,Unknown,School-College/University,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000028340,Unknown,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000028341,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028342,Unknown,Church/Synagogue/Temple,Anti-Islamic (Muslim),Religion
CA00-0000028343,Hispanic,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028344,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028345,Black or African American,Air/Bus/Train Terminal,Anti-Lesbian,Sexual Orientation
CA00-0000028346,White,Air/Bus/Train Terminal,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000028347,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000028348,Hispanic,Park/Playground,Anti-Lesbian,Sexual Orientation
CA00-0000028349,Asian/Pacific Islander,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028350,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028351,Unknown,Residence/Home/Driveway,Anti-Other Religion,Religion
CA00-0000028352,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028353,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028354,Unknown,Church/Synagogue/Temple,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000028355,Unknown,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion
CA00-0000028356,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028357,Black or African American,Park/Playground,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000028358,Unknown,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028359,Hispanic,Park/Playground,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000028360,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028362,White,Park/Playground,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000028363,Unknown,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000028364,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028365,Hispanic,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028366,White,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000028367,Unknown,Shopping Mall,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
