record_id,suspects_race_as_a_group,most_serious_location,most_serious_bias,most_serious_bias_type
CA00-0000016153,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000016160,Asian/Pacific Islander,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000016167,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000016177,Unknown,Specialty Store (TV/Fur/etc.),Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000016188,Group of Multiple Races,Residence/Home/Driveway,Anti-Bisexual,Sexual Orientation
CA00-0000016199,Unknown,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000016206,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000016239,Black or African American,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000016300,White,Bar/Night Club,Anti-Gay (Male),Sexual Orientation
CA00-0000016309,Unknown,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000016432,Unknown,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000016441,Unknown,Convenience Store,Anti-White,Race/Ethnicity/Ancestry
CA00-0000016647,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000016654,Unknown,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000016675,Unknown,Residence/Home/Driveway,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000016821,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000016939,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000016950,Unknown,Parking Lot/Garage,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000017192,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000017200,Unknown,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000017203,Unknown,Commercial/Office Building,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000017271,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000017476,Unknown,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA00-0000017629,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000017681,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000017825,Black or African American,Bar/Night Club,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000018072,Black or African American,Government/Public Building,Anti-White,Race/Ethnicity/Ancestry
CA00-0000018088,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000018096,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000018199,Unknown,Restaurant,Anti-Gay (Male),Sexual Orientation
CA00-0000018390,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000018403,Unknown,Commercial/Office Building,Anti-Jewish,Religion
CA00-0000018413,Unknown,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000018735,Unknown,Other/Unknown,Anti-Jewish,Religion
CA00-0000018742,Hispanic,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000018865,Black or African American,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000018869,White,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA00-0000018900,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000019091,Unknown,Church/Synagogue/Temple,Anti-Islamic (Muslim),Religion
CA00-0000019099,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000019103,Unknown,Church/Synagogue/Temple,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000019111,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000019465,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000019469,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000019483,White,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000019567,Black or African American,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000019687,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000019707,Black or African American,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming
CA00-0000020301,Unknown,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA00-0000020386,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000020404,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020411,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000020528,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000021044,Unknown,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000021054,Unknown,Commercial/Office Building,Anti-Gay (Male),Sexual Orientation
CA00-0000021172,Black or African American,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000021283,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000021335,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000021632,Unknown,Drug Store/Dr Office/Hospital,Anti-Physical Disability,Disability
CA00-0000021775,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000022099,Unknown,Commercial/Office Building,Anti-Gay (Male),Sexual Orientation
CA00-0000022259,White,Hotel/Motel/etc.,Anti-Transgender,Gender Nonconforming
CA00-0000022266,Unknown,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000022417,Unknown,Church/Synagogue/Temple,Anti-Catholic,Religion
CA00-0000022430,Unknown,Government/Public Building,Anti-Jewish,Religion
CA00-0000022435,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000023035,Unknown,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000023567,White,Hotel/Motel/etc.,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000023826,Black or African American,Other/Unknown,Anti-White,Race/Ethnicity/Ancestry
CA00-0000023892,Hispanic,Air/Bus/Train Terminal,Anti-Gay (Male),Sexual Orientation
CA00-0000023945,Unknown,Government/Public Building,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000024119,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000024254,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000024259,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000024417,Unknown,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
